Time;PlayerName;P1;P2;P3;P4
3.55;MPIB3;0;0;0;0
3.55;MPIB1;0;0;0;0
3.6;MPIB2;0;0;0;0.001687886
3.6;MPIB4;0.001302083;0.005063657;0;0
3.6;MPIB3;0;0;0;0
3.6;MPIB1;0;0;0;0
3.65;MPIB2;0;0;0;0.001687886
3.65;MPIB4;0.001302083;0.005063657;0;0
3.65;MPIB3;0;0;0;0
3.65;MPIB1;0;0;0;0
3.7;MPIB2;0;0;0;0.001687886
3.7;MPIB4;0.001302083;0.005063657;0;0
3.7;MPIB3;0;0;0;0
3.7;MPIB1;0;0;0;0
3.75;MPIB2;0;0;0;0.001687886
3.75;MPIB4;0.001302083;0.005063657;0;0
3.75;MPIB3;0;0;0;0
3.75;MPIB1;0;0;0;0
3.8;MPIB2;0;0;0;0.001736111
3.8;MPIB4;0.001253858;0.005111883;0;0
3.8;MPIB3;0;0;0;0
3.8;MPIB1;0;0;0;0
3.85;MPIB2;0;0;0;0.001977238
3.85;MPIB4;0.001253858;0.005208333;0;0
3.85;MPIB3;0;0;0;0
3.85;MPIB1;0;0;0;0
3.9;MPIB2;0;0;0.001929012;0.00236304
3.9;MPIB4;0.0009162808;0.005401235;0;0
3.9;MPIB3;0;9.645062E-05;0;0
3.9;MPIB1;0;0;0;0
3.95;MPIB2;0;0;0.007523148;0.004340278
3.95;MPIB4;0.0004822531;0.005690586;0;0
3.95;MPIB3;0;0.0007233796;0;0
3.95;MPIB1;0;0;0;0
4;MPIB2;0;0;0.006606867;0.006124614
4;MPIB4;0.0002893519;0.005787037;0;0
4;MPIB3;0;0.001157407;0;0
4;MPIB1;0;0;0;0
4.05;MPIB2;0;0;0.007426698;0.006655093
4.05;MPIB4;0.0002893519;0.005979938;0;0
4.05;MPIB3;0;0.00163966;0;0
4.05;MPIB1;0;0;0;0
4.1;MPIB2;0;0;0.008246528;0.006847994
4.1;MPIB4;0.0002411265;0.006076389;0;0
4.1;MPIB3;0;0.00236304;0;0
4.1;MPIB1;0;0;0;0
4.15;MPIB2;0;0;0.01292438;0.006317515
4.15;MPIB4;0.0002893519;0.006221065;0;0
4.15;MPIB3;0;0.002555941;0;0
4.15;MPIB1;0;0;0;0
4.2;MPIB2;0;0;0.001977238;0.005690586
4.2;MPIB4;0.0004340278;0.006655093;0;0
4.2;MPIB3;0.0001929012;0.003665123;0;0
4.2;MPIB1;0;0;0;0
4.25;MPIB2;0;0;0.0005304784;0.005979938
4.25;MPIB4;0.0005787037;0.007378472;0;0
4.25;MPIB3;0.0003858025;0.004870756;0;0
4.25;MPIB1;0;0;0;0
4.3;MPIB2;0;0;0;0.00617284
4.3;MPIB4;0.0005787037;0.008246528;0;0
4.3;MPIB3;0.0005304784;0.004774306;0;0
4.3;MPIB1;0;0;0;0
4.35;MPIB2;0;0;0;0.00554591
4.35;MPIB4;0.0005787037;0.008921682;0;0
4.35;MPIB3;0.0007233796;0.004147376;0;0
4.35;MPIB1;0;0;0;0
4.4;MPIB2;0;0;0;0.00554591
4.4;MPIB4;0.0005787037;0.009837963;0;0
4.4;MPIB3;0.001012731;0.00318287;0;0
4.4;MPIB1;0;0;0.007040895;0
4.45;MPIB2;0;0;0;0.005835262
4.45;MPIB4;0.0005787037;0.01065779;0;0
4.45;MPIB3;0.001060957;0.002121913;0;0
4.45;MPIB1;0;0;0.005063657;0
4.5;MPIB2;0;0;0;0.00626929
4.5;MPIB4;0.000626929;0.01147762;0;0
4.5;MPIB3;0.001157407;0.001060957;0;0
4.5;MPIB1;0;0;0.005208333;0
4.55;MPIB2;0;0;0;0.00617284
4.55;MPIB4;0.000626929;0.01171875;0;0
4.55;MPIB3;0.001350309;0.000626929;0;0
4.55;MPIB1;0;0;0.005497685;0
4.6;MPIB2;0;0;0;0.006365741
4.6;MPIB4;0.000626929;0.01152585;0;0
4.6;MPIB3;0.00154321;0.000626929;0;0
4.6;MPIB1;0;0;0.005353009;0
4.65;MPIB2;0;0;0;0.006799769
4.65;MPIB4;0.000626929;0.01056134;0;0
4.65;MPIB3;0.00154321;0.0006751543;0;0
4.65;MPIB1;0;0;0.005835262;0
4.7;MPIB2;0;0;0;0.007523148
4.7;MPIB4;0.0004822531;0.007330247;0;0
4.7;MPIB3;0.001687886;0.0007233796;0;0
4.7;MPIB1;0;0;0.006799769;0
4.75;MPIB2;0;0;0;0.00699267
4.75;MPIB4;0.0001446759;0.004195602;0.00318287;0
4.75;MPIB3;0.001784336;0.0008198302;0;0
4.75;MPIB1;0;0;0.007040895;0
4.8;MPIB2;0;0;0;0.006751543
4.8;MPIB4;0.0001446759;0.003761574;0.002314815;0
4.8;MPIB3;0.001929012;0.0007716049;0;0
4.8;MPIB1;0;0;0.007764275;0
4.85;MPIB2;0;0;0;0.00699267
4.85;MPIB4;0.0001446759;0.003616898;0.001446759;0
4.85;MPIB3;0.001784336;0.0007716049;0;0
4.85;MPIB1;0;0;0.008150077;0
4.9;MPIB2;0;0;0;0.007282021
4.9;MPIB4;0.0002411265;0.003665123;0.001302083;0
4.9;MPIB3;0.001591435;0.0007716049;0;0
4.9;MPIB1;0;0;0.008342979;0
4.95;MPIB2;0;0;0;0.007330247
4.95;MPIB4;0.0004822531;0.003954475;0.001109182;0
4.95;MPIB3;0.001350309;0.0007716049;0;0
4.95;MPIB1;0;0;0.008391203;0
5;MPIB2;0;0;0;0.007282021
5;MPIB4;0.0004822531;0.004099151;0.0009645062;0
5;MPIB3;0.001205633;0.0007716049;0;0
5;MPIB1;0;0;0.00853588;0
5.05;MPIB2;0;0;0;0.007282021
5.05;MPIB4;0.000626929;0.004147376;0.001060957;0
5.05;MPIB3;0.001109182;0.0007716049;0;0
5.05;MPIB1;0;0;0.008584104;0
5.1;MPIB2;0;0;0;0.007282021
5.1;MPIB4;0.0006751543;0.004147376;0.001205633;0
5.1;MPIB3;0.004774306;0.003423997;0;0
5.1;MPIB1;0;0;0.01003086;0
5.15;MPIB2;0;0;0;0.007330247
5.15;MPIB4;0.0005787037;0.004533179;0.001784336;0
5.15;MPIB3;0.009693287;0.004050926;0;0
5.15;MPIB1;0;0;0.01051312;0
5.2;MPIB2;0;0;0;0.007282021
5.2;MPIB4;0.0005787037;0.004533179;0.001736111;0
5.2;MPIB3;0.009211034;0.003520448;0;0
5.2;MPIB1;0;0;0.01041667;0
5.25;MPIB2;0;0;0;0.007330247
5.25;MPIB4;0.0007716049;0.004147376;0.00163966;0
