,Asocial,Unbiased,Success-based,Unique,ARS,Critical,Conditional,ConditionalARS
86,992.0643298,993.6322236,993.8062478,992.5845113,959.5282035,993.0367928,996.096856,961.3511558
87,1175.544037,1177.204483,1174.409907,1182.66778,1168.176338,1173.416735,1180.36264,1171.429704
88,1072.463265,1040.476499,1035.251323,1028.018737,1059.25038,1033.798,1024.76724,1016.763528
89,1300.356554,1299.26508,1299.409599,1296.61758,1261.491385,1299.788956,1298.012595,1263.757757
90,924.3283053,921.6812791,914.2719845,924.5980722,900.4945056,914.7735963,915.4597798,891.9857313
91,525.6089286,522.6554712,525.2161461,532.1332039,505.8565367,523.5460724,523.8151693,506.3511274
92,673.5641714,661.1754174,661.5406861,656.881263,673.3033849,663.9268764,664.0658267,663.1289841
93,1172.071932,1155.868513,1146.300088,1161.805122,1097.128123,1143.979588,1111.727848,1063.269596
94,1293.921744,1294.577363,1298.943517,1294.281431,1284.843861,1298.980575,1299.995624,1289.78632
95,997.1241799,998.1308663,998.8444709,995.0128284,962.6004943,997.5163648,983.8080659,961.8995982
96,1086.854409,1069.582673,1057.019055,1073.796833,1064.10979,1053.090343,1049.12559,1047.810778
97,1144.820485,1144.034773,1142.260621,1131.85354,1109.359744,1130.730518,1134.217803,1107.767957
98,1093.139726,1089.997783,1083.740188,1085.356837,1087.774964,1086.620131,1074.192387,1068.153329
99,1278.165836,1278.690304,1277.776248,1281.576668,1268.273989,1278.817816,1272.979516,1265.257049
100,1000.49156,976.5525581,976.2907387,975.7360337,995.6987348,976.7810262,976.8730692,965.0842069
101,1021.697092,1022.701422,1023.50575,1013.917681,1015.919088,1022.605136,1020.414767,1016.429269
102,1097.011381,1095.935651,1095.342074,1098.435998,1096.26496,1096.418575,1094.372278,1095.49715
103,1177.829051,1173.563424,1171.491313,1169.406933,1166.281773,1172.476034,1173.388766,1162.630433
104,1015.30506,1015.479066,1017.348949,1017.679503,1005.480333,1018.480023,1013.12948,1005.136394
105,1276.196871,1273.372594,1264.80541,1267.050609,1219.452009,1254.078656,1244.723003,1203.631304
106,1054.004333,1054.486194,1053.971464,1055.43753,980.0215583,1048.942472,1058.685971,980.0665584
107,776.6829323,749.9102162,755.4384196,743.3456406,777.1668198,752.086025,756.9857187,756.4388926
108,677.1271356,662.3852273,667.1749445,664.1071564,674.0322688,673.5947596,665.5024802,664.3989504
109,815.2400329,797.8934353,779.7612846,808.767468,783.3653572,779.4164398,759.8848067,741.6022697
110,1349.794878,1353.272432,1345.704539,1352.233864,1319.228612,1336.770476,1344.20775,1319.436981
111,1101.096761,1099.95695,1099.882914,1104.388706,1102.132214,1097.972863,1098.465255,1101.250299
112,1055.784808,1061.102607,1059.719213,1059.698526,1039.539927,1058.386967,1059.465342,1043.115316
113,1232.82904,1238.621051,1226.351176,1235.260836,1205.213908,1222.540417,1223.159555,1201.779351
114,1170.393388,1148.14104,1149.009416,1148.945706,1145.495494,1150.314051,1151.537597,1121.869226
115,1344.043815,1337.290026,1332.734448,1341.41724,1323.348524,1328.636713,1333.651499,1308.738339
116,1407.67788,1408.40108,1404.43026,1406.325269,1388.092556,1404.840318,1404.802405,1385.512108
117,1136.064784,1135.893285,1131.693111,1138.535119,1094.147134,1133.265761,1129.8889,1089.679165
118,937.3900463,930.873977,932.3345153,929.8849315,934.4403776,931.5959213,930.0138686,929.6851635
119,1230.005849,1222.871597,1216.962086,1224.827027,1179.073341,1217.770899,1192.383989,1163.254922
120,1104.071901,1089.233255,1083.043051,1098.100431,1088.31695,1085.185207,1080.391223,1046.308392
121,1074.012655,1070.778581,1068.439726,1072.44122,1064.384933,1069.286812,1058.900236,1053.430763
122,1277.386432,1279.137893,1280.666566,1276.83161,1249.118376,1279.919151,1279.955263,1251.849675
123,925.7699,928.8929259,929.6119224,923.7170614,919.0033707,930.1796986,928.5730352,922.1778422
124,1170.455779,1168.559477,1168.358683,1173.514345,1164.60186,1170.218506,1149.193998,1153.451759
125,1069.459557,1052.575939,1050.07136,1048.885921,1060.977043,1046.065639,1049.058419,1040.380555
126,1101.629017,1099.199873,1104.042817,1089.654958,1087.785036,1096.782165,1105.162564,1091.077216
127,1055.633409,1056.402508,1058.181159,1059.524845,1039.730362,1055.756633,1052.234776,1037.276433
128,1419.209779,1398.561378,1396.375566,1404.610271,1390.503883,1389.878286,1383.115741,1360.443212
