,simulation_number,env_file,agent_type,n_agents,dist_weight,in_view_weight,gp_weight,any_social_weight,success_social_weight,lengthscale,signalvariance,init_seed,policy_seed,step,final,max_reward,min_reward,tot_reward,tot_pairwise_dist,n_foraged_blocks,min_distance_traveled_prop,max_distance_traveled_prop,mean_distance_traveled_prop
97,16,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3191643291,200,False,2,2,2,0.0,14.0,0.185,0.185,0.185
98,16,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3191643291,300,False,2,2,2,0.0,22.0,0.19666666666666666,0.19666666666666666,0.19666666666666666
99,16,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3191643291,400,False,7,7,7,0.0,29.0,0.185,0.185,0.185
100,16,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3191643291,500,False,10,10,10,0.0,36.0,0.192,0.192,0.192
101,16,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3191643291,599,False,17,17,17,0.0,44.0,0.18864774624373956,0.18864774624373956,0.18864774624373956
102,17,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,1944780934,100,False,1,1,1,0.0,7.0,0.24,0.24,0.24
103,17,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,1944780934,200,False,3,3,3,0.0,14.0,0.22,0.22,0.22
104,17,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,1944780934,300,False,5,5,5,0.0,21.0,0.20666666666666667,0.20666666666666667,0.20666666666666667
105,17,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,1944780934,400,False,7,7,7,0.0,28.0,0.2075,0.2075,0.2075
106,17,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,1944780934,500,False,9,9,9,0.0,36.0,0.208,0.208,0.208
107,17,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,1944780934,599,False,12,12,12,0.0,43.0,0.2036727879799666,0.2036727879799666,0.2036727879799666
108,18,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,1030658128,100,False,1,1,1,0.0,7.0,0.22,0.22,0.22
109,18,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,1030658128,200,False,3,3,3,0.0,14.0,0.21,0.21,0.21
110,18,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,1030658128,300,False,5,5,5,0.0,22.0,0.19666666666666666,0.19666666666666666,0.19666666666666666
111,18,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,1030658128,400,False,7,7,7,0.0,29.0,0.1925,0.1925,0.1925
112,18,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,1030658128,500,False,7,7,7,0.0,37.0,0.188,0.188,0.188
113,18,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,1030658128,599,False,9,9,9,0.0,43.0,0.19532554257095158,0.19532554257095158,0.19532554257095158
114,19,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2503673029,100,False,5,5,5,0.0,8.0,0.13,0.13,0.13
115,19,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2503673029,200,False,5,5,5,0.0,15.0,0.175,0.175,0.175
116,19,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2503673029,300,False,6,6,6,0.0,22.0,0.19,0.19,0.19
117,19,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2503673029,400,False,8,8,8,0.0,29.0,0.1825,0.1825,0.1825
118,19,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2503673029,500,False,9,9,9,0.0,36.0,0.19,0.19,0.19
